Abbreviation,Country
AUS,Australia
CAN,Canada
CZE,Czech Republic
DNK,Denmark
FIN,Finland
FRA,France
DEU,Germany
GRC,Greece
HUN,Hungary
IRL,Ireland
ITA,Italy
JPN,Japan
KOR,Korea
MEX,Mexico
NOR,Norway
POL,Poland
PRT,Portugal
SVK,Slovak Republic
ESP,Spain
SWE,Sweden
CHE,Switzerland
TUR,T¨¹rkiye
GBR,United Kingdom
USA,United States
CHL,Chile
HRV,Croatia
EST,Estonia
IND,India
IDN,Indonesia
LVA,Latvia
LTU,Lithuania
MLT,Malta
MAR,Morocco
ROU,Romania
SVN,Slovenia
ZAF,South Africa
GRC,Greece
HUN,Hungary
PER,Peru
BEL,Belgium
NLD,Netherlands
BEL-BRU,Region of Brussels-Capital
BEL-VLG,Flanders
IDN,Indonesia
BRA,Brazil
COL,Colombia
SAU,Saudi Arabia
